elexon_bmu_id,ng_bmu_id,bmu_name,rated_mw,rated_mwh,duration_ratio_h,mwh_source,lead_party,identification_method,active_2024_25
T_PNYCB-1,PNYCB-1,Pen y Cymoedd Battery,22.0,,,MISSING,Arenko Cleantech Limited,name_keyword,True
E_DOWL-1,DOWL-1,Dowlais II,21.02,,,MISSING,Conrad Energy (Trading) Ltd,fuelType=OTHER,False
E_NEWPB-1,NEWPB-1,Newport BESS,20.933,,,MISSING,Field Newport Ltd,name_keyword,True
E_KINCS-1,KINCS-1,Kincraig,20.6,,,MISSING,Kincraig Energy Centre Limited,fuelType=OTHER,False
E_HAWKB-1,HAWKB-1,HawkersHill  Battery,20.0,,,MISSING,Tesla Motors Limited,name_keyword,True
E_GRCRB-1,GRCRB-1,Gerrards Cross BESS,20.0,,,MISSING,FIELD GERRARDS CROSS LTD,name_keyword,True
E_OLDHB-1,OLDHB-1,Oldham BESS,20.0,,,MISSING,Field Oldham Ltd,name_keyword,True
E_FARNB-1,FARNB-1,Farnham BESS,20.0,,,MISSING,Tesla Motors Limited,name_keyword,True
E_JAMBB-2,JAMBB-2,Jamesfield 2 Battery Storage,19.0,,,MISSING,Tesla Motors Limited,fuelType=OTHER,True
E_PLYRK-1,PLYRK-1,Plymouth Rock,15.0,,,MISSING,Conrad Energy (Trading) Ltd,fuelType=OTHER,False
E_BROAB-1,BROAB-1,Broadditch Battery,11.0,,,MISSING,Tesla Motors Limited,name_keyword,True
2__MBPGM001,CAMFB-1,Camblesforth BESS,10.0,,,MISSING,BP Gas Marketing Limited,name_keyword,False
E_BHOLB-1,BHOLB-1,Holes Bay Battery,7.12,,,MISSING,Tesla Motors Limited,name_keyword,True
E_TDRVE-1,TDRVE-1,The Drove,6.0,,,MISSING,Conrad Energy (Trading) Ltd,fuelType=OTHER,True
